phi1,dm
-3.4999999999997655,16.76743601217138
-3.399999999999764,16.76626077757904
-3.2999999999997627,16.765071043098477
-3.1999999999997613,16.76386682018011
-3.09999999999976,16.76264812027435
-2.9999999999997584,16.761414954831594
-2.899999999999757,16.760167335302267
-2.7999999999997556,16.75890527313676
-2.699999999999754,16.7576287797855
-2.5999999999997527,16.756337866698882
-2.4999999999997513,16.755032545327317
-2.39999999999975,16.753712827121216
-2.2999999999997485,16.75237872353099
-2.199999999999747,16.751030246007044
-2.0999999999997456,16.749667405999787
-1.9999999999997442,16.74829021495963
-1.8999999999997428,16.74689868433698
-1.7999999999997414,16.745492825582247
-1.69999999999974,16.74407265014584
-1.5999999999997385,16.74263816947816
-1.499999999999737,16.741189395029625
-1.3999999999997357,16.73972633825064
-1.2999999999997343,16.73824901059162
-1.1999999999997328,16.73675742350296
-1.0999999999997314,16.73525158843508
-0.99999999999973,16.73373151683839
-0.8999999999997286,16.73219722016329
-0.7999999999997272,16.73064870986019
-0.6999999999997257,16.729085997379507
-0.5999999999997243,16.72750909417164
-0.4999999999997229,16.725918011687003
-0.39999999999972147,16.724312761376005
-0.29999999999972005,16.722693354689053
-0.19999999999971863,16.721059803076557
-0.0999999999997172,16.71941211798892
2.8421709430404007e-13,16.71775031087656
0.10000000000028564,16.716074393189885
0.20000000000028706,16.714384376379293
0.3000000000002885,16.712680271895202
0.4000000000002899,16.710962091188016
0.5000000000002913,16.709229845708148
0.6000000000002927,16.707483546906005
0.7000000000002942,16.705723206231998
0.8000000000002956,16.703948835136522
0.900000000000297,16.702160445070007
1.0000000000002984,16.70035804748285
1.1000000000002998,16.69854165382546
1.2000000000003013,16.696711275548246
1.3000000000003027,16.694866924101618
1.4000000000003041,16.693008610935983
1.5000000000003055,16.69113634750175
1.600000000000307,16.689250145249332
1.7000000000003084,16.687350015629132
1.8000000000003098,16.68543597009156
1.9000000000003112,16.683508020087025
2.0000000000003126,16.681566177065942
2.100000000000314,16.679610452478713
2.2000000000003155,16.677640857775746
2.300000000000317,16.675657404407445
2.4000000000003183,16.673660103824233
2.5000000000003197,16.671648967476507
2.600000000000321,16.66962400681468
2.7000000000003226,16.66758523328916
2.800000000000324,16.665532658350358
2.9000000000003254,16.66346629344868
3.000000000000327,16.661386150034534
3.1000000000003283,16.659292239558326
3.2000000000003297,16.657184573470477
3.300000000000331,16.655063163221385
3.4000000000003325,16.652928020261456
3.500000000000334,16.65077915604111
3.6000000000003354,16.648616582010746
3.700000000000337,16.646440309620775
3.800000000000338,16.64425035032161
3.9000000000003396,16.64204671556365
4.000000000000341,16.63982941679732
4.1000000000003425,16.637598465473012
4.200000000000344,16.635353873041144
4.300000000000345,16.63309565095212
4.400000000000347,16.630823810656356
4.500000000000348,16.62853836360425
4.60000000000035,16.62623932124622
4.700000000000351,16.62392669503267
4.800000000000352,16.62160049641401
4.900000000000354,16.61926073684065
5.000000000000355,16.616907427762996
5.100000000000357,16.614540580631456
5.200000000000358,16.61216020689644
5.3000000000003595,16.609766318008358
5.400000000000361,16.60735892541762
5.500000000000362,16.60493804057463
5.600000000000364,16.6025036749298
5.700000000000365,16.60005583993354
5.800000000000367,16.597594547036252
5.900000000000368,16.595119807688352
6.0000000000003695,16.59263163334025
6.100000000000371,16.590130035442346
6.200000000000372,16.587615025445054
6.300000000000374,16.585086614798783
6.400000000000375,16.58254481495394
6.500000000000377,16.57998963736094
6.600000000000378,16.57742109347018
6.700000000000379,16.57483919473208
6.800000000000381,16.572243952597034
6.900000000000382,16.569635378515468
7.000000000000384,16.56701348393778
7.100000000000385,16.564378280314383
7.2000000000003865,16.561729779095685
7.300000000000388,16.559067991732093
7.400000000000389,16.55639292967402
7.500000000000391,16.553704604371866
7.600000000000392,16.55100302727605
7.700000000000394,16.548288209836972
7.800000000000395,16.545560163505048
7.9000000000003965,16.54281889973068
8.000000000000398,16.540064429964282
8.1000000000004,16.53729676565626
8.2000000000004,16.534515918257025
8.300000000000402,16.53172189921698
8.400000000000404,16.528914719986545
8.500000000000405,16.526094392016116
8.600000000000406,16.52326092675611
8.700000000000408,16.520414335656927
8.80000000000041,16.517554630168984
8.90000000000041,16.514681821742695
9.000000000000412,16.51179592182845
9.100000000000414,16.508896941876674
9.200000000000415,16.50598489333777
9.300000000000416,16.503059787662146
9.400000000000418,16.500121636300207
9.50000000000042,16.497170450702374
9.60000000000042,16.49420624231904
9.700000000000422,16.49122902260063
9.800000000000423,16.488238802997547
9.900000000000425,16.48523559496019
10.000000000000426,16.482219409938974
