phi1_fine,dm_interp
-16.413206100463867,16.825035095214844
-16.3981990814209,16.825035095214844
-16.38319206237793,16.825035095214844
-16.36818504333496,16.825035095214844
-16.35317611694336,16.825035095214844
-16.33816909790039,16.825035095214844
-16.323162078857422,16.825035095214844
-16.30815315246582,16.825035095214844
-16.29314613342285,16.825035095214844
-16.278139114379883,16.825035095214844
-16.263132095336914,16.825035095214844
-16.248123168945312,16.825035095214844
-16.233116149902344,16.825035095214844
-16.218109130859375,16.825035095214844
-16.203102111816406,16.825035095214844
-16.188093185424805,16.825035095214844
-16.173086166381836,16.825035095214844
-16.158079147338867,16.825035095214844
-16.1430721282959,16.825035095214844
-16.128063201904297,16.825035095214844
-16.113056182861328,16.825035095214844
-16.09804916381836,16.825035095214844
-16.08304214477539,16.825035095214844
-16.06803321838379,16.825035095214844
-16.05302619934082,16.825035095214844
-16.03801918029785,16.825035095214844
-16.023012161254883,16.825035095214844
-16.00800323486328,16.825035095214844
-15.992996215820312,16.825035095214844
-15.977989196777344,16.825035095214844
-15.962981224060059,16.825035095214844
-15.94797420501709,16.825035095214844
-15.932966232299805,16.825035095214844
-15.917959213256836,16.825035095214844
-15.90295124053955,16.825035095214844
-15.887944221496582,16.825035095214844
-15.872936248779297,16.825035095214844
-15.857929229736328,16.825035095214844
-15.842921257019043,16.825035095214844
-15.827914237976074,16.825035095214844
-15.812906265258789,16.825035095214844
-15.79789924621582,16.825035095214844
-15.782891273498535,16.825035095214844
-15.767884254455566,16.825035095214844
-15.752876281738281,16.825035095214844
-15.737869262695312,16.825035095214844
-15.722861289978027,16.825035095214844
-15.707854270935059,16.825035095214844
-15.692846298217773,16.825035095214844
-15.677839279174805,16.825035095214844
-15.66283130645752,16.825035095214844
-15.64782428741455,16.825035095214844
-15.632816314697266,16.825035095214844
-15.617809295654297,16.825035095214844
-15.602801322937012,16.825035095214844
-15.587794303894043,16.825035095214844
-15.572786331176758,16.825035095214844
-15.557779312133789,16.825035095214844
-15.542771339416504,16.825035095214844
-15.527764320373535,16.825035095214844
-15.51275634765625,16.825035095214844
-15.497749328613281,16.825035095214844
-15.482741355895996,16.825035095214844
-15.467734336853027,16.825035095214844
-15.452726364135742,16.825035095214844
-15.437718391418457,16.825035095214844
-15.422711372375488,16.825035095214844
-15.407703399658203,16.825035095214844
-15.392696380615234,16.825035095214844
-15.37768840789795,16.825035095214844
-15.36268138885498,16.825035095214844
-15.347673416137695,16.825035095214844
-15.332666397094727,16.825035095214844
-15.317658424377441,16.825035095214844
-15.302651405334473,16.825035095214844
-15.287643432617188,16.825035095214844
-15.272636413574219,16.825035095214844
-15.257628440856934,16.825035095214844
-15.242621421813965,16.825035095214844
-15.22761344909668,16.825035095214844
-15.212606430053711,16.825035095214844
-15.197598457336426,16.825035095214844
-15.182591438293457,16.825035095214844
-15.167583465576172,16.825035095214844
-15.152576446533203,16.825035095214844
-15.137568473815918,16.825035095214844
-15.12256145477295,16.825035095214844
-15.107553482055664,16.825035095214844
-15.092546463012695,16.825035095214844
-15.07753849029541,16.825035095214844
-15.062531471252441,16.825035095214844
-15.047523498535156,16.825035095214844
-15.032516479492188,16.825035095214844
-15.017508506774902,16.825035095214844
-15.002501487731934,16.825035095214844
-14.987493515014648,16.82496452331543
-14.97248649597168,16.824878692626953
-14.957478523254395,16.82479476928711
-14.942471504211426,16.824708938598633
-14.92746353149414,16.824623107910156
-14.912456512451172,16.824539184570312
-14.897448539733887,16.824453353881836
-14.882441520690918,16.824369430541992
-14.867433547973633,16.824283599853516
-14.852426528930664,16.824199676513672
-14.837418556213379,16.824113845825195
-14.82241153717041,16.82402992248535
-14.807403564453125,16.823944091796875
-14.792396545410156,16.82386016845703
-14.777388572692871,16.823774337768555
-14.762381553649902,16.82369041442871
-14.747373580932617,16.823604583740234
-14.732366561889648,16.82352066040039
-14.717358589172363,16.823434829711914
-14.702351570129395,16.82335090637207
-14.68734359741211,16.823265075683594
-14.67233657836914,16.82318115234375
-14.657328605651855,16.823095321655273
-14.642321586608887,16.82301139831543
-14.627313613891602,16.822925567626953
-14.612306594848633,16.82284164428711
-14.597298622131348,16.822755813598633
-14.582291603088379,16.82267189025879
-14.567283630371094,16.822586059570312
-14.552276611328125,16.82250213623047
-14.53726863861084,16.822416305541992
-14.522260665893555,16.82233238220215
-14.507253646850586,16.822246551513672
-14.4922456741333,16.822162628173828
-14.477238655090332,16.82207679748535
-14.462230682373047,16.821992874145508
-14.447223663330078,16.82190704345703
-14.432215690612793,16.821823120117188
-14.417208671569824,16.82173728942871
-14.402200698852539,16.821653366088867
-14.38719367980957,16.82156753540039
-14.372185707092285,16.821483612060547
-14.357178688049316,16.82139778137207
-14.342170715332031,16.821313858032227
-14.327163696289062,16.82122802734375
-14.312155723571777,16.821142196655273
-14.297148704528809,16.82105827331543
-14.282140731811523,16.820972442626953
-14.267133712768555,16.82088851928711
-14.25212574005127,16.820802688598633
-14.2371187210083,16.82071876525879
-14.222110748291016,16.820632934570312
-14.207103729248047,16.82054901123047
-14.192095756530762,16.820463180541992
-14.177088737487793,16.82037925720215
-14.162080764770508,16.820293426513672
-14.147073745727539,16.820209503173828
-14.132065773010254,16.82012367248535
-14.117058753967285,16.820039749145508
-14.10205078125,16.81995391845703
-14.087043762207031,16.819869995117188
-14.072035789489746,16.81978416442871
-14.057028770446777,16.819700241088867
-14.042020797729492,16.81961441040039
-14.027013778686523,16.819530487060547
-14.012005805969238,16.81944465637207
-13.99699878692627,16.819360733032227
-13.981990814208984,16.81927490234375
-13.966983795166016,16.819190979003906
-13.95197582244873,16.81910514831543
-13.936968803405762,16.819021224975586
-13.921960830688477,16.81893539428711
-13.906953811645508,16.818851470947266
-13.891945838928223,16.81876564025879
-13.876938819885254,16.818681716918945
-13.861930847167969,16.81859588623047
-13.846923828125,16.818511962890625
-13.831915855407715,16.81842613220215
-13.816908836364746,16.818342208862305
-13.801900863647461,16.818256378173828
-13.786893844604492,16.818172454833984
-13.771885871887207,16.818086624145508
-13.756878852844238,16.818002700805664
-13.741870880126953,16.817916870117188
-13.726863861083984,16.817832946777344
-13.7118558883667,16.817747116088867
-13.69684886932373,16.81766128540039
-13.681840896606445,16.817577362060547
-13.666833877563477,16.81749153137207
-13.651825904846191,16.817407608032227
-13.636818885803223,16.81732177734375
-13.621810913085938,16.817237854003906
-13.606802940368652,16.81715202331543
-13.591795921325684,16.817068099975586
-13.576787948608398,16.81698226928711
-13.56178092956543,16.816898345947266
-13.546772956848145,16.81681251525879
-13.531765937805176,16.816728591918945
-13.51675796508789,16.81664276123047
-13.501750946044922,16.816558837890625
-13.486742973327637,16.81647300720215
-13.471735954284668,16.816389083862305
-13.456727981567383,16.816303253173828
-13.441720962524414,16.816219329833984
-13.426712989807129,16.816133499145508
-13.41170597076416,16.816049575805664
