phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_coverage,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-12.5,-13.0625,-11.9375,-0.464107211201062,2.5358927887989378,2321,1622,82958,False,True,map,True,True,laplace_ok,1.035892788798938,0.35,0.10517431361877609,0.02487116974888112,0.9541734448247806,0.04470559940763211,0.2472065198276491,0.06841900320992472,0.05568319861461827,0.027058464068785378,244.1095819091793,57.725984987153076,216.9862950303816,51.31198665524718,350.1728328833362,127.47523293151536,2505.6542600488146,nan,nan,nan
-11.75,-12.3125,-11.1875,-0.6285232688895739,2.371476731110426,2204,1562,78809,False,True,map,True,True,laplace_ok,0.8714767311104261,0.35,0.06419973825611203,0.014028474564046751,0.944600580379813,0.03445870886424426,0.15299096035214754,0.033548368671484245,0.057333847861724185,0.026065220367359327,141.4962231164709,30.91875793915904,125.77442054797413,27.48334039036359,327.9718882349854,101.52999778607966,2394.3591614740117,nan,nan,nan
-11.0,-11.5625,-10.4375,-0.7697105120167109,2.2302894879832893,2152,1644,80855,False,True,map,True,True,laplace_ok,0.7302894879832891,0.35,0.08403379488353523,0.02469654615658156,0.7049139065878381,0.08048045964132733,0.24629106159890926,0.08334057843794902,0.03734002670566615,0.027401505379352938,180.84072658936782,53.14696732896352,160.7473125238825,47.241748736856465,260.3785091117715,116.69867622474753,2349.2065988814684,nan,nan,nan
-10.25,-10.8125,-9.6875,-0.8947663368973917,2.1052336631026085,2132,1566,80205,False,True,map,True,False,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; laplace_failed:SVD did not converge,0.6052336631026083,0.35,0.6371230227447319,nan,0.5017405631862615,nan,1.2,nan,0.3913978932890008,nan,1358.3462844917683,nan,1207.4189195482386,nan,401.40871430367355,nan,2311.047751963969,nan,nan,nan
-9.5,-10.0625,-8.9375,-1.0282842428982042,1.9717157571017958,2073,1487,72971,False,True,map,True,True,laplace_ok,0.4717157571017958,0.35,0.09048729407611981,0.015206074337816919,0.2988408282471119,0.03150358839647341,0.18100634041055313,0.02920339260786592,0.029449074747562268,0.02749746052242178,187.58016061979637,31.522192102294472,166.7379205509301,28.01972631315064,367.4943435854513,85.61113618109553,2253.7960607361474,nan,nan,nan
-8.75,-9.3125,-8.1875,-1.1641225444877525,1.8358774555122475,2040,1564,77302,False,True,map,True,True,laplace_ok,0.33587745551224757,0.35,0.06306776975657416,0.013301545266254489,0.27824511646904126,0.03131394541371269,0.13700598625072666,0.030831366733821596,-0.029186132675883544,0.027114946518697558,128.65825030341128,27.135152343159156,114.3628891585878,24.120135416141473,333.00874686401755,102.70715088556037,2220.4820578677127,nan,nan,nan
-8.0,-8.5625,-7.4375,-1.2889769410928507,1.7110230589071493,2053,1541,75558,False,True,map,True,True,laplace_ok,0.2110230589071494,0.35,0.04360946683464263,0.010689432185421122,0.13203617283852323,0.02744497107307126,0.10155674557325269,0.025189716162153385,0.0005568123982376578,0.026513563161079546,89.53023541152132,21.945404276669564,79.58243147690784,19.507026023706278,312.62124947070134,109.01666274200846,2247.442988669603,nan,nan,nan
-7.25,-7.8125,-6.6875,-1.4096807886558471,1.5903192113441529,2062,1583,77368,False,True,map,True,True,laplace_ok,0.0903192113441528,0.35,0.05110034186356412,0.01136813062845935,0.04530999996085892,0.0237285448150811,0.09742338056481299,0.024649286124717836,0.011053107932338109,0.02715262498535,105.3689049226692,23.441085355883178,93.6612488201504,20.836520316340604,383.5366004847126,129.21630279716902,2240.7851050441905,nan,nan,nan
-6.5,-7.0625,-5.9375,-1.545907882306734,1.454092117693266,2041,1569,76888,False,True,map,True,True,laplace_ok,-0.045907882306733955,0.35,0.11876493190894577,0.024818728735260736,-0.0458219302988827,0.03862112605681985,0.2418010556678926,0.06050755114274113,0.06662447399143795,0.028804280423842015,242.39922602615832,50.65502534866716,215.4659786899185,45.026689198815255,355.4926120982049,115.8973836979523,2190.645067966371,nan,nan,nan
-5.75,-6.3125,-5.1875,-1.6921134516294951,1.3078865483705049,2127,1618,73537,False,True,map,True,True,laplace_ok,-0.19211345162949506,0.35,0.08537481509033584,0.014110286516546122,-0.22272327842783213,0.024258629906323846,0.14088481858956026,0.024205148987824155,0.03715422395088532,0.027353265863922033,181.59223169714434,30.0125794206936,161.41531706412832,26.677848373949868,457.07830925975594,108.966644013502,2288.499476012967,nan,nan,nan
-5.0,-5.5625,-4.4375,-1.7611261211708422,1.2388738788291578,2112,1691,74420,False,True,map,True,True,laplace_ok,-0.26112612117084233,0.35,0.1157565784960675,0.01522474167135403,-0.29610601167529177,0.02314944283353098,0.16801927055958063,0.0214902970625824,-0.02725885018682254,0.028388991682257298,244.47789378369458,32.15465440989971,217.31368336328407,28.581915031021968,515.9861491759104,94.66324554127591,2245.6141284501186,nan,nan,nan
-4.25,-4.8125,-3.6875,-1.8062778456851065,1.1937221543148935,2167,1698,72222,False,True,map,True,True,laplace_ok,-0.30627784568510663,0.35,0.14694653213612757,0.013140341874733726,-0.33069069687169805,0.012124831928927066,0.12226096681416924,0.011511897811878473,0.03235890230074809,0.028308150149332804,318.43313513898846,28.475120842547984,283.05167567910087,25.311218526709318,923.608604686581,119.9347934530934,2252.0165449747783,nan,nan,nan
-3.5,-4.0625,-2.9375,-1.8376534388918402,1.1623465611081598,2458,1812,77044,False,True,map,True,True,laplace_ok,-0.33765343889184013,0.35,0.1776591835736909,0.013412065886257147,-0.3149208238720374,0.010700115770515602,0.13037391689354183,0.011190280310009793,0.08728111223851968,0.027120133757569765,436.6862732241322,32.96685794842006,388.1655761992286,29.303873731928945,1187.7809904929477,135.77326416386083,2502.576165499051,nan,nan,nan
-2.75,-3.3125,-2.1875,-1.8227666696319675,1.1772333303680325,2519,1890,77154,False,True,map,True,True,laplace_ok,-0.3227666696319676,0.35,0.17000319693984306,0.012684349396336423,-0.3199370558254426,0.0102516846964269,0.12274247488521958,0.009392390618534564,0.002256274269512602,0.026717611705394224,428.2380530914647,31.95187612937145,380.65604719241304,28.4016676705524,1237.22282492304,132.22950704969713,2560.5919494509344,nan,nan,nan
-2.0,-2.5625,-1.4375,-1.7756599290029398,1.2243400709970602,2219,1941,76701,False,True,map,True,True,laplace_ok,-0.27565992900293984,0.35,0.1499944462680197,0.013407399646082119,-0.29957423307234926,0.011298338417325336,0.11506093829291325,0.010688115860409495,0.03412752906422782,0.029576768824565582,332.8376762687357,29.75101981465622,295.8557122388762,26.445350946361085,1025.798626897143,132.23882959355944,2211.1722914801694,nan,nan,nan
-1.25,-1.8125,-0.6875,-1.6963332170047574,1.3036667829952426,2361,2059,73944,False,True,map,True,True,laplace_ok,-0.19633321700475725,0.35,0.1217164491292784,0.01198492520888224,-0.259279508882773,0.01228473459146215,0.11140759043576592,0.010057494133482116,0.09625488133643086,0.027023025953050325,287.3725363942263,28.29640841817097,255.4422545726456,25.152363038374194,914.71968069223,122.19436101001445,2446.826197823906,nan,nan,nan
