phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-12.5,-13.0625,-11.9375,-0.464107211201062,2.5358927887989378,2307,1622,11653,False,True,map,True,True,laplace_ok,1.035892788798938,0.35,0.10622263027601184,0.019719545118873416,0.9091278473065922,0.04157301691122861,0.24387810652691844,0.045249442459180805,0.06736508552908717,0.027178847506046246,245.05560804675932,45.49299058924097,217.82720715267496,40.43821385710308,356.3275276838827,93.52431480893536,2493.5895914857983,nan,0.8443178310459551,0.0648100162606371
-11.75,-12.3125,-11.1875,-0.6285232688895739,2.371476731110426,2175,1562,11273,False,True,map,True,True,laplace_ok,0.8714767311104261,0.35,0.07291022413277758,0.016657982848076798,0.9305659809060178,0.043032297091176966,0.18182360285608665,0.04926369779162222,0.04654552356191161,0.026675804256519837,158.57973748879124,36.23111269456704,140.95976665670332,32.205433506281814,309.2822376827991,109.6140065983932,2363.626955505965,nan,0.7314901735641506,0.19907580734186725
-11.0,-11.5625,-10.4375,-0.7697105120167109,2.2302894879832893,2146,1644,11304,False,True,map,True,True,laplace_ok,0.7302894879832891,0.35,0.0738185676453955,0.018169580325918942,0.6599376826149798,0.051667018437298394,0.21281379602622438,0.058340724120500835,0.04257395996550936,0.026516545396449633,158.41464616701876,38.99191937942205,140.81301881512778,34.6594838928196,263.96910296827986,97.2527153581559,2344.8431263509515,nan,0.6220306722882134,0.037907010326766355
-10.25,-10.8125,-9.6875,-0.8947663368973917,2.1052336631026085,2088,1566,10922,False,True,map,True,True,laplace_ok,0.6052336631026083,0.35,0.15241734107519908,0.04408924724164374,0.4464740953881307,0.09354502642287167,0.4864250362144742,0.1067507389523851,0.09547658532857735,0.03837891785592815,318.24740816501566,92.05834824055212,282.88658503556945,81.82964288049078,232.00989037764856,84.24156509435967,2270.2246377781044,nan,0.5159393272181443,-0.06946523183001357
-9.5,-10.0625,-8.9375,-1.0282842428982042,1.9717157571017958,2041,1487,10644,False,True,map,True,True,laplace_ok,0.4717157571017958,0.35,0.09764538483925435,0.01565301952800772,0.2732905246188643,0.030052444317070978,0.1858435652490227,0.027608790365891634,0.04649873775373902,0.027868285953415617,199.29423045691811,31.94781285666376,177.15042707281611,28.398055872590007,380.28109962170777,83.11337346616315,2218.3889876774415,nan,0.413216138353943,-0.13992561373507872
-8.75,-9.3125,-8.1875,-1.1641225444877525,1.8358774555122475,2028,1564,10721,False,True,map,True,True,laplace_ok,0.33587745551224757,0.35,0.06892047632810833,0.013739705613685333,0.2741260250820753,0.030768795475686866,0.1414720886902309,0.03078755055416247,-0.03359250982006222,0.02727303012959399,139.7707259934037,27.864122984553855,124.24064532746995,24.768109319603425,350.35070750962257,103.39944836098228,2208.939834354908,nan,0.31386110569560943,-0.039735080613534146
-8.0,-8.5625,-7.4375,-1.2889769410928507,1.7110230589071493,2064,1541,10572,False,True,map,True,True,laplace_ok,0.2110230589071494,0.35,0.049780420617232125,0.010783513121746026,0.1330887039965377,0.02391079096482347,0.10116679006201132,0.022034034768481096,-0.0032834336779059147,0.026526711528750652,102.7467881539671,22.257171083283797,91.33047835908187,19.784152074030043,360.1536560010673,110.63305395957201,2259.9562156263514,nan,0.2178742292431437,-0.08478552524660601
-7.25,-7.8125,-6.6875,-1.4096807886558471,1.5903192113441529,2069,1583,10457,False,True,map,True,True,laplace_ok,0.0903192113441528,0.35,0.05527339058046996,0.01159881284548514,0.05955474511986945,0.02573567848630209,0.10644867031032228,0.024074143533086907,0.013455407591480324,0.027146205715483464,114.36064511099235,23.997943777308755,101.65390676532654,21.331505579830004,380.9727379257032,117.53598963394761,2251.4032325197645,nan,0.1252555089965458,-0.06570076387667637
-6.5,-7.0625,-5.9375,-1.545907882306734,1.454092117693266,2044,1569,10269,False,True,map,True,True,laplace_ok,-0.045907882306733955,0.35,0.12117773079563288,0.027232040090683314,-0.0361753204949933,0.04243354563609584,0.25371681056641937,0.07151508982834137,0.06555272536334412,0.02893167014556724,247.6872817462736,55.6622899453567,220.1664726633543,49.47759106253929,346.1879978554463,124.79741769030325,2196.5884410197755,nan,0.03600494495581574,-0.07218026545080905
-5.75,-6.3125,-5.1875,-1.6921134516294951,1.3078865483705049,2120,1618,10270,False,True,map,True,True,laplace_ok,-0.19211345162949506,0.35,0.08454143129667828,0.013522902745561853,-0.21818531082429296,0.022195372677536976,0.1328208540740219,0.0218323813246303,0.030693146628867508,0.027385873264172494,179.22783434895794,28.66855382059113,159.31363053240705,25.483158951636558,478.51629555257267,109.751363990734,2285.9606934946255,nan,-0.049877462879046375,-0.16830784794524659
-5.0,-5.5625,-4.4375,-1.7611261211708422,1.2388738788291578,2124,1691,10303,False,True,map,True,True,laplace_ok,-0.26112612117084233,0.35,0.11559108935476525,0.015388453907733449,-0.28517595230385717,0.024660014490542576,0.1671602564310158,0.023333069120179295,-0.03946887576464111,0.02828245667330318,245.5154737895214,32.685076100025846,218.2359767017968,29.053400977800752,520.8388648708396,100.46540828634936,2258.2840723712416,nan,-0.13239171450804077,-0.1527842377958164
-4.25,-4.8125,-3.6875,-1.8062778456851065,1.1937221543148935,2167,1698,10378,False,True,map,True,True,laplace_ok,-0.30627784568510663,0.35,0.1504171086924102,0.013332398047590245,-0.34183855483816594,0.012038891573257007,0.1238072783393971,0.011513845079135809,0.03150915302988569,0.028392130190443905,325.95387453645293,28.891306569128062,289.7367773657359,25.6811613947805,933.6143418126267,119.94319098078388,2250.9436027984716,nan,-0.21153780993116733,-0.1303007449069986
-3.5,-4.0625,-2.9375,-1.8376534388918402,1.1623465611081598,2464,1812,10825,False,True,map,True,True,laplace_ok,-0.33765343889184013,0.35,0.17999321558189507,0.013167939871421269,-0.31595014407185434,0.009801643885571467,0.1262053362044922,0.010178815113524142,0.085202651107457,0.027081710851078834,443.50328319378946,32.445803843182006,394.22514061670176,28.840714527272894,1246.1681995313634,135.69487577313407,2508.9791195157654,nan,-0.28731574914842606,-0.028634394923428286
