phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,cluster_bin,success,optimizer_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_negloglike,acc_frac,track_poly,track_resid
3.25,2.6875,3.8125,-0.8459295681001698,2.15407043189983,11107,16200,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.6540704318998302,0.3,0.19363293993399538,0.0037493641549288994,0.5974895551142556,0.015,0.29152744913176626,0.00961043964057921,0.0,,460.08958109745095,21.449698857966535,613.4527747966013,28.599598477288712,559.6551305312984,31.95544867109515,-6315.950842690086,,0.6857400058473961,-0.08825045073314053
4.0,3.4375,4.5625,-0.6737911454631924,2.326208854536808,11296,16723,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.8262088545368076,0.3,0.12918440059469033,0.003155773285846812,0.7152726738355432,0.015,0.20857559892681146,0.008476409764423164,0.0,,302.74230751543104,17.399491587843336,403.6564100205747,23.19932211712445,514.7153982883386,36.23065887283544,-6104.024051998215,,0.8694606065430938,-0.1541879327075506
4.75,4.1875,5.3125,-0.4582246110468864,2.5,11427,17215,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0417753889531136,0.3,0.001127182470161534,0.0003138962278393895,0.9617533897382126,0.020535360195063725,0.03355865926194594,0.014520692448037862,0.0,,2.6705736113463785,1.6341889766322555,3.5607648151285045,2.178918635509674,28.220031561896192,21.149536204293444,-6075.326742412788,,1.059385483480331,-0.09763209374211834
5.5,4.9375,6.0625,-0.22758286008600948,2.5,11828,17612,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2724171399139905,0.3,0.0025860483943403365,0.00046698226292792456,1.3519982751574402,0.015,0.030560995816936273,0.008529964594096433,0.0,,6.418160157182105,2.533408801828498,8.557546876242807,3.377878402437997,74.47329892652499,36.003187030076816,-6736.1736035802915,,1.2555146366591072,0.09648363849833297
6.25,5.6875,6.8125,0.014858941518238078,2.5,12290,18619,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.514858941518238,0.3,0.14845197172321203,0.003207167316824049,1.5307993196579786,0.015,0.27701004476080765,0.010336142136797375,0.0,,359.12372202273053,18.95055993955668,478.83162936364073,25.26741325274224,459.73346637209863,29.71185057023055,-6963.339317830749,,1.457848066079423,0.07295125357855547
7.0,6.4375,7.5625,0.26795221282898174,2.5,12378,19189,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7679522128289817,0.3,0.09894133594346254,0.002683738394119518,1.6978238076121352,0.020884479047393573,0.31146630253508206,0.014767556755960363,0.0,,222.42051483584063,14.913769303426973,296.56068644778753,19.88502573790263,253.23359341699287,20.795986480108528,-6514.877880349135,,1.666385771741278,0.03143803587085725
7.75,7.1875,8.3125,0.46909375975097944,2.5,12430,19060,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9690937597509794,0.3,0.03133631646722747,0.00156269749805709,1.9829816255566481,0.022385200726096628,0.17911886398421276,0.015828727231644957,0.0,,64.02663334706037,8.001664411049765,85.36884446274716,10.668885881399687,126.7584393501041,19.401806989712842,-5788.38177853221,,1.8811277536446724,0.1018538719119757
8.5,7.9375,9.0625,0.6493457302760524,2.5,12157,18395,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1493457302760524,0.3,0.04618179455275404,0.0019035092775406726,2.1753508585820525,0.015,0.09411528002182298,0.008,0.0,,80.77779934971437,8.987647041896693,107.70373246628583,11.98352938919559,304.3612941340505,42.61601855912722,-4963.1221273078345,,2.102074011789606,0.07327684679244628
9.25,8.6875,9.8125,0.8087081244042023,2.5,11817,17357,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.3087081244042023,0.3,0.0004011454791551907,0.0001842087299189846,2.3282755450301544,0.04459527949918268,0.04459527949918268,0.04034799538201454,0.0,,0.6108067950645923,1.0,0.8144090600861231,1.3333333333333333,4.857049314921325,9.08533661111299,-4007.6114394678402,,2.3292245461760794,-0.0009490011459249992
10.0,9.4375,10.5625,0.9471809421354291,2.5,11963,16096,False,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.447180942135429,0.3,0.0014600671985432623,0.00034909938968275266,2.433046180726588,0.025647832366581608,0.03664147632098196,0.01813575618914567,0.0,,2.0410074691073663,1.428638326906907,2.721343292143155,1.9048511025425425,19.752823079730426,16.933725147065626,-3774.5333626707743,,2.562579356804092,-0.12953317607750403
