phi1,dm_interp
-14.699999809265137,16.757701873779297
-14.649999618530273,16.759225845336914
-14.600000381469727,16.76074981689453
-14.550000190734863,16.76227378845215
-14.5,16.763797760009766
-14.449999809265137,16.765321731567383
-14.399999618530273,16.766845703125
-14.350000381469727,16.768369674682617
-14.300000190734863,16.769893646240234
-14.25,16.77141761779785
-14.199999809265137,16.772939682006836
-14.149999618530273,16.774463653564453
-14.100000381469727,16.77598762512207
-14.050000190734863,16.777511596679688
-14.0,16.779035568237305
-13.949999809265137,16.780559539794922
-13.899999618530273,16.78208351135254
-13.850000381469727,16.783607482910156
-13.800000190734863,16.785131454467773
-13.75,16.78665542602539
-13.699999809265137,16.788179397583008
-13.649999618530273,16.789703369140625
-13.600000381469727,16.791227340698242
-13.550000190734863,16.79275131225586
-13.5,16.794275283813477
-13.449999809265137,16.795799255371094
-13.399999618530273,16.79732322692871
-13.350000381469727,16.798847198486328
-13.300000190734863,16.800371170043945
-13.25,16.801895141601562
-13.199999809265137,16.80341911315918
-13.149999618530273,16.804943084716797
-13.100000381469727,16.806467056274414
-13.050000190734863,16.80799102783203
-13.0,16.80951499938965
-12.949999809265137,16.81333351135254
-12.899999618530273,16.81715202331543
-12.850000381469727,16.82097053527832
-12.800000190734863,16.82478904724121
-12.75,16.8286075592041
-12.699999809265137,16.832426071166992
-12.649999618530273,16.836244583129883
-12.600000381469727,16.840063095092773
-12.550000190734863,16.843881607055664
-12.5,16.847700119018555
-12.449999809265137,16.851518630981445
-12.399999618530273,16.855337142944336
-12.350000381469727,16.859155654907227
-12.300000190734863,16.862974166870117
-12.25,16.86679458618164
-12.199999809265137,16.87061309814453
-12.149999618530273,16.874431610107422
-12.100000381469727,16.878250122070312
-12.050000190734863,16.882068634033203
-12.0,16.885887145996094
-11.949999809265137,16.889705657958984
-11.899999618530273,16.893524169921875
-11.850000381469727,16.897342681884766
-11.800000190734863,16.901161193847656
-11.75,16.904979705810547
-11.699999809265137,16.908798217773438
-11.649999618530273,16.912616729736328
-11.600000381469727,16.91643524169922
-11.550000190734863,16.92025375366211
-11.5,16.924072265625
-11.449999809265137,16.92789077758789
-11.399999618530273,16.93170928955078
-11.350000381469727,16.935527801513672
-11.300000190734863,16.939346313476562
-11.25,16.943164825439453
-11.199999809265137,16.946983337402344
-11.149999618530273,16.950801849365234
-11.100000381469727,16.954620361328125
-11.050000190734863,16.958438873291016
-11.0,16.962257385253906
-10.949999809265137,16.957584381103516
-10.899999618530273,16.952909469604492
-10.850000381469727,16.9482364654541
-10.800000190734863,16.943561553955078
-10.75,16.938888549804688
-10.699999809265137,16.934213638305664
-10.649999618530273,16.929540634155273
-10.600000381469727,16.92486572265625
-10.550000190734863,16.92019271850586
-10.5,16.915517807006836
-10.449999809265137,16.910844802856445
-10.399999618530273,16.906169891357422
-10.350000381469727,16.9014949798584
-10.300000190734863,16.896821975708008
-10.25,16.892147064208984
-10.199999809265137,16.887474060058594
-10.149999618530273,16.88279914855957
-10.100000381469727,16.87812614440918
-10.050000190734863,16.873451232910156
-10.0,16.868778228759766
-9.949999809265137,16.864103317260742
-9.899999618530273,16.85943031311035
-9.850000381469727,16.854755401611328
-9.800000190734863,16.850082397460938
-9.75,16.845407485961914
-9.699999809265137,16.840734481811523
-9.649999618530273,16.8360595703125
-9.600000381469727,16.83138656616211
-9.550000190734863,16.826711654663086
-9.5,16.822038650512695
-9.449999809265137,16.817363739013672
-9.399999618530273,16.81269073486328
-9.350000381469727,16.808015823364258
-9.300000190734863,16.803342819213867
-9.25,16.798667907714844
-9.199999809265137,16.793994903564453
-9.149999618530273,16.78931999206543
-9.100000381469727,16.78464698791504
-9.050000190734863,16.779972076416016
-9.0,16.775299072265625
-8.949999809265137,16.773298263549805
-8.899999618530273,16.771297454833984
-8.850000381469727,16.769296646118164
-8.800000190734863,16.767295837402344
-8.75,16.765296936035156
-8.699999809265137,16.763296127319336
-8.649999618530273,16.761295318603516
-8.600000381469727,16.759294509887695
-8.550000190734863,16.757295608520508
-8.5,16.755294799804688
-8.449999809265137,16.753293991088867
-8.399999618530273,16.751293182373047
-8.350000381469727,16.749292373657227
-8.300000190734863,16.74729347229004
-8.25,16.74529266357422
-8.199999809265137,16.7432918548584
-8.149999618530273,16.741291046142578
-8.100000381469727,16.739290237426758
-8.050000190734863,16.73729133605957
-8.0,16.73529052734375
-7.949999809265137,16.73328971862793
-7.900000095367432,16.73128890991211
-7.849999904632568,16.729290008544922
-7.800000190734863,16.7272891998291
-7.75,16.72528839111328
-7.699999809265137,16.72328758239746
-7.650000095367432,16.72128677368164
-7.599999904632568,16.719287872314453
-7.550000190734863,16.717287063598633
-7.5,16.715286254882812
-7.449999809265137,16.713285446166992
-7.400000095367432,16.711284637451172
-7.349999904632568,16.709285736083984
-7.300000190734863,16.707284927368164
-7.25,16.705284118652344
-7.199999809265137,16.703283309936523
-7.150000095367432,16.701282501220703
-7.099999904632568,16.699283599853516
-7.050000190734863,16.697282791137695
-7.0,16.695281982421875
-6.949999809265137,16.69331169128418
-6.900000095367432,16.69133949279785
-6.849999904632568,16.689369201660156
