phi1_center,phi1_lo,phi1_hi,fit_lo,fit_hi,n_signal,n_control,n_depth,cluster_bin,success,sampler_used,optimizer_success,sampler_success,message,mu_prior_center,mu_prior_sigma,f_stream,f_stream_err,mu,mu_err,sigma,sigma_err,bg_tilt,bg_tilt_err,n_stream,n_stream_err,linear_density,linear_density_err,peak_surface_density,peak_surface_density_err,map_neglogpost,acc_frac,track_poly,track_resid
-4.25,-4.8125,-3.6875,-1.8062778456851065,1.1937221543148935,2167,1698,10378,False,True,emcee,True,True,emcee_ok,-0.30627784568510663,0.35,0.15078602697755028,0.013578876087945705,-0.3416269584131907,0.012115363536102486,0.12500955904751712,0.011701404348116073,0.031249361028007034,0.02860884223168619,326.75332046035146,29.425424482578343,290.4473959647569,26.15593287340297,926.9030893773029,120.39552608920383,2250.9436027984716,0.5916341145833334,-0.24411121320507245,-0.09751574520811823
-3.5,-4.0625,-2.9375,-1.8376534388918402,1.1623465611081598,2464,1812,10825,False,True,emcee,True,True,emcee_ok,-0.33765343889184013,0.35,0.1796889617871189,0.013506953619911154,-0.3156119535893142,0.00988813984258613,0.12693312207787852,0.010310883921713665,0.08475024188071402,0.02697366860116327,442.75360184346096,33.28113371946108,393.55875719418754,29.583229972854294,1236.9287503278517,136.89597252480638,2508.9791195157654,0.5902913411458334,-0.28812941554957294,-0.027482538039741267
-2.75,-3.3125,-2.1875,-1.8227666696319675,1.1772333303680325,2517,1890,11116,False,True,emcee,True,True,emcee_ok,-0.3227666696319676,0.35,0.16781514561187202,0.01260450350589939,-0.3235419061941099,0.00989263796215159,0.11958276582351465,0.008720284818571115,0.0027914818082117343,0.027029410199584956,422.3907215050819,31.725535324348765,375.4584191156284,28.20047584386557,1252.5737875888117,131.12678987421538,2561.2294395598865,0.5912272135416666,-0.3229693286730305,-0.0005725775210793649
-2.0,-2.5625,-1.4375,-1.7756599290029398,1.2243400709970602,2219,1941,10776,False,True,emcee,True,True,emcee_ok,-0.27565992900293984,0.35,0.1502657375113817,0.014066806049498172,-0.29507519800371046,0.011063065364833202,0.11592294407953689,0.011015725522610263,0.03549370747615202,0.02942925000029777,333.439671537756,31.214242623836444,296.390819144672,27.74599344341017,1020.0123040223638,136.06123471430024,2213.488382648985,0.5904541015625,-0.3486309525754453,0.05355575457173484
-1.25,-1.8125,-0.6875,-1.6963332170047574,1.3036667829952426,2362,2059,10978,False,True,emcee,True,True,emcee_ok,-0.19633321700475725,0.35,0.1212562830038651,0.011739229997034032,-0.2640671594640981,0.012107479083392242,0.1120751474187134,0.010322492904227194,0.09347519725395559,0.028002284064669463,286.4073404551294,27.728061252994383,254.58430262678166,24.647165558217228,906.2173424130453,121.09400472601057,2450.278884760837,0.5884602864583334,-0.3651142872568172,0.10104712779271913
-0.5,-1.0625,0.0625,-1.5847865336374198,1.4152134663625802,3365,2311,12132,True,True,emcee,True,True,emcee_ok,-0.0847865336374198,0.35,0.2961533314111586,0.012430336599764271,-0.02477532538579607,0.005107300136415116,0.09616365095889697,0.0062379634838625525,0.02197462691409682,0.02445436439979391,996.5559601985487,41.828082658206775,885.8275201764877,37.180517918406025,3674.92339795423,283.93596989187085,2871.1550992759962,0.5919189453125,-0.37241933271714633,0.34764400733135026
0.25,-0.3125,0.8125,-1.398682350105095,1.601317649894905,3595,2537,12710,True,True,emcee,True,True,emcee_ok,0.10131764989490503,0.35,0.3119674575426837,0.011973308182684914,0.013829724727737889,0.003991706141262785,0.0883779892401843,0.005025691309121216,0.009257584175305826,0.023965289990362612,1121.5230098659479,43.04404291675227,996.9093421030648,38.261371481557575,4500.094307545703,308.73241127297223,2892.0143078063284,0.5877685546875,0.20355825405423925,-0.18972852932650136
1.0,0.4375,1.5625,-1.2917538887451743,1.7082461112548257,2333,2537,11728,False,True,emcee,True,True,emcee_ok,0.20824611125482562,0.35,0.10778691125693533,0.01303684674896655,0.2871860697202462,0.016844015803279266,0.1347894714038255,0.015931555096086514,-0.0951899428990901,0.02549273957650914,251.46686396243012,30.41496346533896,223.5261012999379,27.0355230803013,661.5799561575253,111.88176596157281,2475.1130555662126,0.5946451822916666,0.2884937119926144,-0.0013076422723682368
1.75,1.1875,2.3125,-1.16398560462438,1.83601439537562,2276,2497,11882,False,True,emcee,True,True,emcee_ok,0.3360143953756201,0.35,0.11088565228453862,0.013149160038841532,0.40178314464643367,0.018289601722160348,0.136076326720699,0.017077042138539465,-0.08023691010889085,0.025979011803398462,252.3757445996099,29.92748824840333,224.33399519965326,26.602211776358516,657.6920304455879,113.55658494078479,2436.5834397788026,0.5929768880208334,0.3925838488212065,0.00919929582522716
2.5,1.9375,3.0625,-1.0153774977427115,1.9846225022572885,2410,2615,12219,False,True,emcee,True,True,emcee_ok,0.48462250225728853,0.35,0.0720229756553161,0.013766712804102651,0.5400374382531735,0.02583670514283548,0.1355582296046637,0.031381509697092705,-0.04340715796280828,0.024968665012742336,173.5753713293118,33.17777785788739,154.28921895938825,29.491358095899905,454.06680975786867,136.3163293871345,2617.291420192086,0.5894775390625,0.5158286645400155,0.024208773713157994
3.25,2.6875,3.8125,-0.8459295681001698,2.15407043189983,2492,2933,12947,False,True,emcee,True,True,emcee_ok,0.6540704318998302,0.35,0.11242918906877039,0.02376694213284498,0.5575960670549618,0.04652182586799486,0.283915711662648,0.059809392521485795,-0.09625641042264182,0.02559367371942186,280.1735391593758,59.22721979504969,249.04314591944518,52.64641759559973,349.94132578863275,104.43561973907966,2697.8544111119045,0.5931396484375,0.6582281591490413,-0.10063209209407953
4.0,3.4375,4.5625,-0.6737911454631924,2.326208854536808,2439,3103,13668,False,True,emcee,True,True,emcee_ok,0.8262088545368076,0.35,0.05840781506184248,0.013274972255069456,0.8058313935277837,0.036222871964538994,0.1465158945220333,0.03224918235091331,-0.11931357736027409,0.023553245028557636,142.4566609358338,32.3776573301144,126.6281430540745,28.78013984899058,344.79071583182014,109.08889344289258,2644.2648453896304,0.5902099609375,0.819782332648284,-0.013950939120500383
4.75,4.1875,5.3125,-0.4582246110468864,2.5417753889531136,2527,3489,15105,False,True,emcee,True,True,emcee_ok,1.0417753889531136,0.35,0.03024092443619484,0.01675375623860491,1.007028056548135,0.08591071610158169,0.18789038126108634,0.13903926325556315,-0.04270491311074499,0.024155628741153633,76.41881605026435,42.33674201495461,67.92783648912388,37.63265956884854,144.2292352052362,133.32660119951916,2764.0163199949384,0.5299479166666666,1.0004911850377438,0.0065368715103912844
5.5,4.9375,6.0625,-0.22758286008600948,2.7724171399139905,2887,4007,16373,False,True,emcee,True,True,emcee_ok,1.2724171399139905,0.35,0.039606835275834106,0.012141261449614894,1.2028285492190252,0.05474302763659589,0.16359724150005428,0.04311596922301963,0.014532927804223128,0.02313380570934117,114.34493344133307,35.0518218050382,101.63994083674051,31.157174937811735,247.85546140924697,100.19859337641911,3155.1284228181944,0.5835774739583334,1.2003547163174204,0.0024738329016047444
6.25,5.6875,6.8125,0.014858941518238078,3.014858941518238,3246,4441,16796,False,True,emcee,True,True,emcee_ok,1.514858941518238,0.35,0.030879096698413995,0.013385736701350627,1.5269581180073533,0.06554645356080235,0.17209178906220743,0.0858829349615523,0.0223844698785949,0.02201930023292557,100.23354788305183,43.45010133258414,89.09648700715718,38.622312295630344,206.5430076361365,136.532011185548,3538.6174107614806,0.5762532552083334,1.4193729264873138,0.10758519152003942
7.0,6.4375,7.5625,0.26795221282898174,3.2679522128289817,3271,4762,17387,False,True,emcee,True,True,emcee_ok,1.7679522128289817,0.35,0.040379644559580534,0.028911405408881978,1.7498601656817847,0.17625782311234606,0.3462031755834366,0.23988269383485,0.03080758535863808,0.025371476872509055,132.08181735438794,94.56920709245296,117.40605987056705,84.06151741551373,135.2911947695954,134.79957072346778,3572.5515646264435,0.5553792317708334,1.6575458155474243,0.0923143501343604
7.75,7.1875,8.3125,0.46909375975097944,3.4690937597509794,3217,4575,16672,False,False,emcee,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH;emcee_ok,1.9690937597509794,0.35,0.011680978897691801,0.015530336970563123,2.1962397221921135,0.8343399512749266,0.31013919706040005,0.38582029697961795,0.02499962562029979,0.044952572986142234,37.577709113874526,49.96109403430157,33.4024081012218,44.409861363823616,42.96661945702248,78.2331381775945,3547.6082447617378,0.3408610026041667,1.9148733834977516,0.2813663386943619
8.5,7.9375,9.0625,0.6493457302760524,3.6493457302760524,2998,4301,16132,False,True,emcee,True,True,emcee_ok,2.1493457302760524,0.35,0.015518941234929633,0.010190948279432767,2.1482816944322614,0.09951080799692824,0.10305742885673383,0.10608837373022417,0.02359512796876011,0.0233927106117532,46.52578582231904,30.552462941739435,41.35625406428359,27.15774483710172,160.0928578201015,195.47800411018164,3299.561957851547,0.4735107421875,2.191355630338296,-0.04307393590603459
9.25,8.6875,9.8125,0.8087081244042023,3.8087081244042023,2856,3927,15366,False,False,emcee,True,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH;emcee_ok,2.3087081244042023,0.35,0.017169011505159676,0.022997773555407462,2.8531105026019397,0.5550062271816094,0.3596612098384083,0.429306180466257,0.00018942276908025965,0.044444503483116696,49.034696858736034,65.68164127424372,43.586397207765366,58.38368113266108,48.346766959831406,86.7419625547779,3143.4479539983768,0.3633626302083333,2.4869925560690573,0.3661179465328823
10.0,9.4375,10.5625,0.9471809421354291,3.947180942135429,2828,3513,14757,False,True,emcee,True,True,emcee_ok,2.447180942135429,0.35,0.011783298519197629,0.011104802345429984,2.621768669671975,0.2145213219739619,0.21291017205091636,0.26612244395203133,0.017694504573091525,0.02347614298090689,33.323168212290895,31.404381032875992,29.620593966480797,27.91500536255644,55.50184469818011,86.88253048136751,3112.7303945337385,0.4813232421875,2.801784160690035,-0.18001549101806003
